iter	Passed	Remaining
0	15	14987
1	29	14538
2	49	16397
3	69	17182
4	90	17931
5	109	18083
6	128	18168
7	146	18153
8	165	18193
9	183	18207
10	200	18050
11	214	17653
12	227	17269
13	244	17218
14	261	17183
15	281	17307
16	302	17481
17	323	17669
18	344	17772
19	364	17881
20	385	17973
21	403	17957
22	420	17861
23	438	17838
24	455	17779
25	469	17587
26	483	17436
27	500	17388
28	518	17350
29	533	17244
30	548	17130
31	562	17012
32	578	16939
33	596	16948
34	613	16910
35	632	16930
36	647	16847
37	662	16763
38	676	16667
39	691	16591
40	705	16503
41	720	16436
42	734	16352
43	749	16284
44	764	16222
45	777	16127
46	791	16055
47	806	15988
48	820	15923
49	834	15855
50	849	15802
51	863	15735
52	876	15666
53	891	15621
54	906	15574
55	920	15515
56	934	15454
57	949	15420
58	964	15382
59	979	15344
60	993	15295
61	1007	15248
62	1021	15198
63	1035	15147
64	1051	15126
65	1066	15095
66	1082	15074
67	1096	15033
68	1110	14988
69	1126	14961
70	1140	14919
71	1155	14893
72	1170	14868
73	1185	14833
74	1199	14799
75	1214	14769
76	1228	14731
77	1243	14703
78	1258	14673
79	1274	14656
80	1289	14626
81	1303	14591
82	1316	14549
83	1329	14497
84	1342	14449
85	1355	14405
86	1369	14370
87	1382	14323
88	1394	14274
89	1408	14243
90	1421	14203
91	1435	14170
92	1448	14124
93	1461	14085
94	1474	14049
95	1488	14015
96	1501	13978
97	1519	13982
98	1537	13993
99	1558	14027
100	1578	14048
101	1596	14055
102	1612	14043
103	1627	14022
104	1642	14003
105	1657	13977
106	1675	13986
107	1694	13998
108	1712	13998
109	1728	13984
110	1748	14003
111	1767	14010
112	1781	13987
113	1796	13962
114	1811	13937
115	1824	13900
116	1837	13870
117	1850	13834
118	1864	13803
119	1879	13784
120	1892	13745
121	1906	13719
122	1919	13689
123	1932	13651
124	1944	13614
125	1958	13587
126	1971	13553
127	1983	13515
128	1996	13478
129	2010	13452
130	2022	13417
131	2035	13382
132	2048	13354
133	2061	13322
134	2075	13298
135	2088	13268
136	2101	13235
137	2113	13201
138	2125	13166
139	2138	13139
140	2151	13108
141	2164	13080
142	2176	13042
143	2188	13010
144	2201	12983
145	2213	12948
146	2225	12912
147	2237	12881
148	2249	12850
149	2262	12821
150	2274	12790
151	2287	12762
152	2300	12735
153	2313	12711
154	2326	12684
155	2337	12648
156	2349	12615
157	2361	12584
158	2373	12555
159	2385	12522
160	2397	12494
161	2409	12466
162	2422	12439
163	2434	12411
164	2447	12383
165	2459	12358
166	2471	12329
167	2483	12301
168	2496	12277
169	2509	12252
170	2521	12226
171	2533	12198
172	2545	12168
173	2557	12142
174	2570	12119
175	2584	12100
176	2597	12075
177	2609	12050
178	2622	12027
179	2634	12002
180	2646	11977
181	2659	11953
182	2671	11928
183	2685	11908
184	2698	11887
185	2711	11867
186	2724	11845
187	2737	11822
188	2749	11798
189	2761	11773
190	2774	11753
191	2787	11732
192	2800	11709
193	2812	11684
194	2824	11658
195	2835	11632
196	2848	11609
197	2860	11585
198	2872	11564
199	2885	11542
200	2899	11523
201	2910	11499
202	2923	11476
203	2935	11454
204	2948	11433
205	2959	11407
206	2971	11381
207	2983	11359
208	2994	11334
209	3007	11312
210	3019	11291
211	3031	11269
212	3044	11248
213	3056	11225
214	3067	11201
215	3079	11179
216	3092	11159
217	3106	11142
218	3119	11123
219	3131	11101
220	3145	11086
221	3156	11061
222	3168	11040
223	3180	11016
224	3191	10994
225	3204	10974
226	3215	10950
227	3229	10933
228	3241	10913
229	3253	10890
230	3265	10870
231	3276	10846
232	3289	10827
233	3302	10811
234	3314	10790
235	3327	10771
236	3339	10752
237	3351	10731
238	3364	10711
239	3376	10691
240	3388	10670
241	3399	10649
242	3411	10626
243	3423	10606
244	3435	10588
245	3448	10568
246	3461	10553
247	3474	10534
248	3486	10514
249	3499	10498
250	3512	10481
251	3525	10463
252	3538	10447
253	3553	10436
254	3565	10417
255	3577	10397
256	3589	10377
257	3601	10358
258	3614	10340
259	3626	10321
260	3638	10301
261	3647	10273
262	3659	10254
263	3671	10236
264	3684	10220
265	3697	10202
266	3709	10183
267	3723	10169
268	3735	10150
269	3749	10136
270	3761	10119
271	3774	10102
272	3787	10086
273	3800	10069
274	3813	10053
275	3826	10038
276	3840	10023
277	3854	10010
278	3867	9993
279	3879	9976
280	3893	9961
281	3905	9943
282	3918	9926
283	3930	9909
284	3947	9902
285	3959	9885
286	3971	9867
287	3984	9850
288	3996	9831
289	4008	9812
290	4020	9796
291	4032	9778
292	4044	9760
293	4057	9742
294	4069	9725
295	4081	9708
296	4097	9699
297	4111	9685
298	4123	9668
299	4135	9650
300	4149	9635
301	4161	9619
302	4175	9604
303	4187	9586
304	4198	9568
305	4210	9549
306	4222	9531
307	4233	9511
308	4246	9495
309	4258	9478
310	4270	9460
311	4282	9443
312	4293	9424
313	4305	9406
314	4317	9388
315	4330	9372
316	4341	9354
317	4355	9341
318	4368	9326
319	4381	9310
320	4393	9293
321	4405	9276
322	4416	9257
323	4429	9240
324	4441	9224
325	4453	9207
326	4465	9190
327	4477	9172
328	4488	9154
329	4500	9138
330	4512	9121
331	4524	9103
332	4538	9089
333	4550	9073
334	4563	9057
335	4576	9043
336	4588	9027
337	4602	9014
338	4614	8998
339	4626	8981
340	4639	8965
341	4651	8949
342	4663	8932
343	4674	8914
344	4686	8896
345	4698	8880
346	4709	8862
347	4721	8845
348	4733	8829
349	4744	8812
350	4756	8795
351	4771	8784
352	4783	8767
353	4795	8752
354	4808	8735
355	4821	8721
356	4833	8706
357	4845	8690
358	4858	8674
359	4870	8658
360	4883	8643
361	4894	8626
362	4906	8610
363	4918	8593
364	4931	8579
365	4942	8562
366	4954	8546
367	4966	8528
368	4978	8513
369	4990	8497
370	5002	8481
371	5023	8480
372	5035	8464
373	5047	8449
374	5060	8433
375	5071	8416
376	5083	8400
377	5095	8384
378	5107	8368
379	5119	8353
380	5132	8338
381	5144	8322
382	5156	8306
383	5168	8291
384	5182	8278
385	5194	8262
386	5206	8246
387	5219	8232
388	5231	8217
389	5244	8202
390	5257	8188
391	5268	8171
392	5281	8156
393	5293	8142
394	5306	8127
395	5318	8112
396	5330	8096
397	5341	8079
398	5353	8064
399	5366	8049
400	5377	8033
401	5389	8017
402	5400	8000
403	5413	7986
404	5425	7970
405	5437	7955
406	5451	7942
407	5463	7926
408	5475	7911
409	5487	7897
410	5499	7881
411	5511	7866
412	5523	7851
413	5535	7835
414	5547	7820
415	5559	7804
416	5571	7789
417	5583	7774
418	5595	7759
419	5607	7743
420	5619	7728
421	5632	7714
422	5645	7700
423	5657	7686
424	5670	7672
425	5682	7656
426	5695	7643
427	5709	7629
428	5721	7614
429	5732	7599
430	5745	7585
431	5757	7570
432	5769	7555
433	5781	7540
434	5793	7525
435	5806	7510
436	5817	7495
437	5829	7479
438	5841	7465
439	5854	7450
440	5866	7436
441	5878	7421
442	5891	7407
443	5903	7392
444	5914	7377
445	5926	7361
446	5938	7346
447	5949	7331
448	5961	7315
449	5973	7300
450	5985	7285
451	5996	7270
452	6008	7255
453	6020	7240
454	6036	7230
455	6048	7216
456	6062	7203
457	6075	7189
458	6087	7175
459	6101	7162
460	6113	7148
461	6126	7134
462	6138	7119
463	6150	7104
464	6163	7091
465	6175	7077
466	6188	7063
467	6200	7048
468	6214	7036
469	6229	7024
470	6241	7010
471	6253	6995
472	6266	6981
473	6278	6967
474	6291	6953
475	6304	6939
476	6315	6924
477	6327	6910
478	6338	6894
479	6349	6878
480	6361	6864
481	6373	6849
482	6385	6835
483	6397	6820
484	6409	6805
485	6420	6790
486	6432	6775
487	6443	6760
488	6455	6745
489	6468	6732
490	6482	6720
491	6494	6706
492	6507	6692
493	6519	6677
494	6530	6662
495	6542	6647
496	6554	6633
497	6566	6619
498	6578	6604
499	6590	6590
500	6601	6575
501	6613	6560
502	6625	6546
503	6636	6531
504	6648	6516
505	6660	6502
506	6671	6487
507	6684	6474
